Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3009.6949999999997,0,335,302,305,924,16304,-1732,54,-377,15
3025.322,0,335,302,305,948,16284,-1636,112,-8,1
3025.322,0,336,302,305,928,16252,-2060,-101,-159,4
3025.322,0,336,302,305,960,16272,-1504,-50,11,18
3041.014,0,336,301,305,936,16296,-1812,-77,-27,-7
3041.014,0,337,302,305,944,16216,-1796,-49,1,-9
3041.014,0,337,302,305,952,16324,-1772,-54,20,13
3056.574,0,337,302,305,948,16440,-1832,-39,3,1
3056.574,0,337,301,305,972,16420,-1852,-50,-24,15
3056.574,0,337,302,305,984,16504,-1760,-60,12,8
3072.2,0,337,302,305,992,16476,-1792,-69,2,-3
3072.2,0,337,302,305,932,16492,-1784,-54,15,-1
3072.2,0,336,302,305,1000,16416,-1792,-48,11,-16
3087.826,0,336,302,305,940,16428,-1820,-50,20,-15
3087.826,0,336,302,305,940,16368,-1812,-81,-8,-15
3094.329,0,336,302,305,956,16344,-1788,-81,31,-18
3094.329,0,335,302,305,864,16352,-1824,-92,19,-19
3109.956,0,335,302,305,916,16296,-1820,-81,20,-18
3109.956,0,335,302,305,920,16276,-1808,-93,34,-26
3109.956,0,335,302,305,928,16316,-1764,-67,45,-15
3109.956,0,334,302,305,960,16288,-1796,-71,31,-7
3125.582,0,334,302,305,932,16284,-1788,-81,34,-4
3125.582,0,334,302,306,896,16272,-1780,-85,30,-23
3125.582,0,334,302,305,1000,16340,-1792,-64,37,-6
3141.2079999999996,0,334,302,305,948,16340,-1840,-46,43,-7
3141.2079999999996,0,334,302,305,932,16404,-1812,-60,18,-13
3141.2079999999996,0,334,302,305,1012,16468,-1832,-55,36,-19
3156.834,0,333,302,305,1036,16496,-1824,-67,22,-2
3156.834,0,334,302,305,960,16432,-1844,-70,24,2
3156.834,0,334,302,306,924,16408,-1856,-76,50,1
3172.46,0,335,302,305,892,16432,-1808,-77,18,-30
3172.46,0,334,302,305,920,16404,-1836,-79,42,-17
3172.46,0,334,302,305,920,16368,-1812,-95,13,-16
3188.0860000000002,0,334,302,306,892,16324,-1848,-126,24,-23
3194.589,0,334,302,305,940,16268,-1848,-76,20,-11
3194.589,0,335,302,305,916,16184,-1748,-56,49,-17
3194.589,0,335,302,305,980,16220,-1792,-62,33,-21
3194.589,0,335,302,305,972,16236,-1816,-80,26,-4
3210.217,0,335,302,305,944,16292,-1804,-64,27,-3
3210.217,0,335,302,305,984,16268,-1812,-63,53,5
3210.217,0,335,302,305,996,16344,-1868,-48,33,3
3225.843,0,335,302,305,944,16464,-1848,-84,16,-4
